author,comment,"Labeling (1=Pro 2=Kontra, 3=Netral)",likeCount,replyCount,publishedAt,cleaning
@Infinix-p4u,Kita Doakan aja semoga aja megaproyek IKN ini selesai dan sesuai target agar bisa menjadi kebanggaan Bangsa Indonesia dan dapat menjadi jalan kemajuan bagi Indonesia👍🔥,1,1,0,2024-12-12T07:53:07Z,Kita Doakan saja  semoga saja  megaproyek IKN ini selesai dan sesuai target agar bisa menjadi kebaikan Bangsa Indonesia dan dapat menjadi jalan kemajuan bagi Indonesia
@iqballsponge6443,"Tepat 1thn alhamdulillah ikn masih berlanjut, tpi di 2024 akhir ini menjelang 2025 blom ada asn yg pindah ke sana",1,0,0,2024-12-10T14:35:38Z,tepat tahun alhamdulillah ikn masih berlanjut tapi di  akhir ini menjelang  belum ada asn yang pindah ke sana
@tuwardihasan2214,"Gak usah jadi pindah ke Ikn, Jokowi sudah minggat dari Jakarta 😅😅",2,0,0,2024-12-04T00:55:30Z,tidak usah jadi pindah ke Ikn Jokowi sudah minggat dari jakarta
@DudiKardono,"sy pribadi tdk mnyetujui orang basic seni rupa jd desainer ikn krn umumny dia akan lbh menonjolkn visual drpd fungsi, shg bangunan2 ikn mgkn akan bagus scr visual tp kurang dlm fungsi n yg jelas akan mahal banget krn tingkat kesulitan tinggi dlm kontruksinya shg jd mahal n tdk ekonomis",2,0,0,2024-11-14T04:18:09Z,saya pribadi tidak menyetujui orang basic seni rupa jadi desainer ikn karena umumnya  dia akan lebih menonjolkan visual daripada fungsi sehingga bangunan ikn mungkin  akan bagus secara visual tapi kurang dalam fungsi dan yang jelas akan mahal banget karena tingkat kesulitan tinggi dalam konstruksinya sehingga jadi mahal dan tidak ekonomis
@DudiKardono,buatlah ibu kota secara alami bkn tiba2,2,0,0,2024-11-14T04:07:51Z,buatlah ibu kota secara alami bukan  tiba
@mjuffrisiregar6708,Gua pantengin org2 cina----,3,0,0,2024-11-13T06:01:31Z,saya pantengin orang  cina
@UpangSkd,Bisa aja pindah krna jakarta sdah padat tpi lihat dulu keuangan negara kita  dulu klo anggarannya  hrus  mnggunakn dana lokal  dan investasi  jdi APBN utk jaga2 biar keuangann negara kita aman...,3,0,0,2024-11-12T06:00:33Z,Bisa saja  pindah karena jakarta sudah  padat tapi lihat dulu keuangan negara kita  dulu kalau anggarannya harus   menggunakan  dana lokal  dan investasi  jadi APBN untuk  jaga biar keuangan negara kita aman
@ShisuiucihaUcihashisui,Engga jadi ikn mangkrak mulyono boong 😂😂😂😂,2,0,0,2024-10-24T14:56:22Z,tidak jadi ikn mangkrak mulyono boong
@DudiKardono,"sy trmasuk yg tdk stuju ada ikn krn sederhana aja, indonesia ga ada duit utk ikn",2,0,0,2024-10-23T14:35:25Z,saya termasuk  yang tidak setuju  ada ikn karena sederhana saja  indonesia ga ada duit untuk  ikn
@mochridho1727,Sekarang apa kabar😂,3,0,0,2024-10-22T17:45:34Z,Sekarang apa kabar
@Ice.ken.ywe.tt.628,Saudaraku suku Dayak jagalah ikn itu kebanggaan negara kita ini saudaraku sebangsa dan setanah air dari yang kau disana orang Jawa Tengah aku dengan saudaraku semua salm sejahtera,1,0,0,2024-10-18T23:06:41Z,Saudaraku suku Dayak jagalah ikn itu kebanggaan negara kita ini saudaraku sebangsa dan setanah air dari yang kau disana orang jawa Tengah aku dengan saudaraku semua salam sejahtera
@mumueffendi1727,Emang gampang ibukota pindah tak semudah itu sekarang aja rakyat lg pada susah 😇,2,0,0,2024-10-08T01:18:09Z,Emang gampang ibukota pindah tak semudah itu sekarang saja  rakyat lagi pada susah
@yadiyasin,"Oktober 2024, pembangunan IKN jalan terus, lancar semua. HUT TNI melakukan FuN Run di IKN tgl 6 kemarin. <br>Dirgahayu TNI. Maju terus IKN ❤🇮🇩🇮🇩🇮🇩",1,0,0,2024-10-07T00:27:21Z,Oktober  pembangunan IKN jalan terus lancar semua HUT TNI melakukan FuN Run di IKN kemarin Dirgahayu TNI Maju terus IKN
@frn89221,"yakin ini? nanti hanya wacana saja wkwkwk , ujung ujungnya padat penduduk juga , dan kehijauan pun bakal jadi wilayah penduduk, akhirnya malah jadi the real gotham city wkwkwk",2,1,1,2024-10-06T20:05:16Z,yakin ini nanti hanya wacana saja ujung ujungnya padat penduduk juga  dan kehijauan pun bakal jadi wilayah penduduk akhirnya malah jadi the real gotham city 
@AgusSaputro-i5e,Nih saya ceritain. Mulyono lepas tanggung jawab ya. Dan ada kemungkinan mangkrak. Ditambah ini kata mulyono ini bukan ide dia. Next nya saya komen setelah ganti presiden.,2,1,4,2024-10-03T00:51:38Z,Nih saya ceritain Mulyono lepas tanggung jawab ya Dan ada kemungkinan mangkrak Ditambah ini kata mulyono ini bukan ide dia Next nya saya komen setelah ganti presiden
@alama9415,"Buang buang uang....banyak masyarakat miskin , lihat di stopan lampu merah...anak anak telantar...miris 😂",2,0,1,2024-10-01T13:57:51Z,Buang buang uang banyak masyarakat miskin  lihat di lampu merah anak anak telantar miris
