author,comment,published_at,like_count,author_channel_url,author_profile_image
@Infinix-p4u,Kita Doakan aja semoga aja megaproyek IKN ini selesai dan sesuai target agar bisa menjadi kebanggaan Bangsa Indonesia dan dapat menjadi jalan kemajuan bagi Indonesia👍🔥,2024-12-12T07:53:07Z,1,http://www.youtube.com/@Infinix-p4u,https://yt3.ggpht.com/ytc/AIdro_lwipGrMtw03q9rRS3u-wAHkA12LD8UeCn7-UUk93gUoG_7iN7OhFsK3V58eudoVYMMPA=s48-c-k-c0x00ffffff-no-rj
@iqballsponge6443,"Tepat 1thn alhamdulillah ikn masih berlanjut, tpi di 2024 akhir ini menjelang 2025 blom ada asn yg pindah ke sana",2024-12-10T14:35:38Z,0,http://www.youtube.com/@iqballsponge6443,https://yt3.ggpht.com/ytc/AIdro_nbPI7tw7_osfD4rEFWbsXrxYeJkhEEvnw22UM1OsY=s48-c-k-c0x00ffffff-no-rj
@tuwardihasan2214,"Gak usah jadi pindah ke Ikn, Jokowi sudah minggat dari Jakarta 😅😅",2024-12-04T00:55:30Z,0,http://www.youtube.com/@tuwardihasan2214,https://yt3.ggpht.com/ytc/AIdro_lCz-5s9xX2KhaXt-SgRQrSh7xSIu9Mi5iKddZZLTjvY5aH0-HZod53kfuRV4K-zm-cvg=s48-c-k-c0x00ffffff-no-rj
@DudiKardono,"sy pribadi tdk mnyetujui orang basic seni rupa jd desainer ikn krn umumny dia akan lbh menonjolkn visual drpd fungsi, shg bangunan2 ikn mgkn akan bagus scr visual tp kurang dlm fungsi n yg jelas akan mahal banget krn tingkat kesulitan tinggi dlm kontruksinya shg jd mahal n tdk ekonomis",2024-11-14T04:18:09Z,0,http://www.youtube.com/@DudiKardono,https://yt3.ggpht.com/ytc/AIdro_n4wJ1o745a8pX0WITv50Uujw4uXvzulMVIepHG4zeFQ8-oJCV9hJ7hsVaXbntXvYzOwA=s48-c-k-c0x00ffffff-no-rj
@DudiKardono,buatlah ibu kota secara alami bkn tiba2,2024-11-14T04:07:51Z,0,http://www.youtube.com/@DudiKardono,https://yt3.ggpht.com/ytc/AIdro_n4wJ1o745a8pX0WITv50Uujw4uXvzulMVIepHG4zeFQ8-oJCV9hJ7hsVaXbntXvYzOwA=s48-c-k-c0x00ffffff-no-rj
@mjuffrisiregar6708,Gua pantengin org2 cina----,2024-11-13T06:01:31Z,0,http://www.youtube.com/@mjuffrisiregar6708,https://yt3.ggpht.com/ytc/AIdro_nMXLn8ZjdAfSJul5Z8jt24AVJYL32L-O7FJAP9LqPfvYdD=s48-c-k-c0x00ffffff-no-rj
@UpangSkd,Bisa aja pindah krna jakarta sdah padat tpi lihat dulu keuangan negara kita  dulu klo anggarannya  hrus  mnggunakn dana lokal  dan investasi  jdi APBN utk jaga2 biar keuangann negara kita aman...,2024-11-12T06:00:33Z,0,http://www.youtube.com/@UpangSkd,https://yt3.ggpht.com/ytc/AIdro_lifOKFcU4A4OYf6QOtypWEOVULEGyGGX7uJlkJEzO9pfNSYlEwmHAKAT1vRsGasQ2CpA=s48-c-k-c0x00ffffff-no-rj
@ShisuiucihaUcihashisui,Engga jadi ikn mangkrak mulyono boong 😂😂😂😂,2024-10-24T14:56:22Z,0,http://www.youtube.com/@ShisuiucihaUcihashisui,https://yt3.ggpht.com/ytc/AIdro_neAWLH7sZOed0nxggmhltv1elkeHlOQumeJrdVd-uJprIR_0tQYDxrh34wywukW1kbeQ=s48-c-k-c0x00ffffff-no-rj
@DudiKardono,"sy trmasuk yg tdk stuju ada ikn krn sederhana aja, indonesia ga ada duit utk ikn",2024-10-23T14:35:25Z,0,http://www.youtube.com/@DudiKardono,https://yt3.ggpht.com/ytc/AIdro_n4wJ1o745a8pX0WITv50Uujw4uXvzulMVIepHG4zeFQ8-oJCV9hJ7hsVaXbntXvYzOwA=s48-c-k-c0x00ffffff-no-rj
@mochridho1727,Sekarang apa kabar😂,2024-10-22T17:45:34Z,0,http://www.youtube.com/@mochridho1727,https://yt3.ggpht.com/gvzyeek6OOT9g5b_KFN86s6ObJiGAbspHrp_co4xstVlirx1z9SkVL8dnhcPj_PVDS6A56RSaA=s48-c-k-c0x00ffffff-no-rj
