author,comment,publishedAt,likeCount,replyCount
@Infinix-p4u,Kita Doakan aja semoga aja megaproyek IKN ini selesai dan sesuai target agar bisa menjadi kebanggaan Bangsa Indonesia dan dapat menjadi jalan kemajuan bagi Indonesia👍🔥,2024-12-12T07:53:07Z,1,0
@iqballsponge6443,"Tepat 1thn alhamdulillah ikn masih berlanjut, tpi di 2024 akhir ini menjelang 2025 blom ada asn yg pindah ke sana",2024-12-10T14:35:38Z,0,0
@tuwardihasan2214,"Gak usah jadi pindah ke Ikn, Jokowi sudah minggat dari Jakarta 😅😅",2024-12-04T00:55:30Z,0,0
@DudiKardono,"sy pribadi tdk mnyetujui orang basic seni rupa jd desainer ikn krn umumny dia akan lbh menonjolkn visual drpd fungsi, shg bangunan2 ikn mgkn akan bagus scr visual tp kurang dlm fungsi n yg jelas akan mahal banget krn tingkat kesulitan tinggi dlm kontruksinya shg jd mahal n tdk ekonomis",2024-11-14T04:18:09Z,0,0
@DudiKardono,buatlah ibu kota secara alami bkn tiba2,2024-11-14T04:07:51Z,0,0
@mjuffrisiregar6708,Gua pantengin org2 cina----,2024-11-13T06:01:31Z,0,0
@UpangSkd,Bisa aja pindah krna jakarta sdah padat tpi lihat dulu keuangan negara kita  dulu klo anggarannya  hrus  mnggunakn dana lokal  dan investasi  jdi APBN utk jaga2 biar keuangann negara kita aman...,2024-11-12T06:00:33Z,0,0
@ShisuiucihaUcihashisui,Engga jadi ikn mangkrak mulyono boong 😂😂😂😂,2024-10-24T14:56:22Z,0,0
@DudiKardono,"sy trmasuk yg tdk stuju ada ikn krn sederhana aja, indonesia ga ada duit utk ikn",2024-10-23T14:35:25Z,0,0
@mochridho1727,Sekarang apa kabar😂,2024-10-22T17:45:34Z,0,0
@Ice.ken.ywe.tt.628,Saudaraku suku Dayak jagalah ikn itu kebanggaan negara kita ini saudaraku sebangsa dan setanah air dari yang kau disana orang Jawa Tengah aku dengan saudaraku semua salm sejahtera,2024-10-18T23:06:41Z,0,0
@mumueffendi1727,Emang gampang ibukota pindah tak semudah itu sekarang aja rakyat lg pada susah 😇,2024-10-08T01:18:09Z,0,0
@yadiyasin,"Oktober 2024, pembangunan IKN jalan terus, lancar semua. HUT TNI melakukan FuN Run di IKN tgl 6 kemarin. <br>Dirgahayu TNI. Maju terus IKN ❤🇮🇩🇮🇩🇮🇩",2024-10-07T00:27:21Z,0,0
@frn89221,"yakin ini? nanti hanya wacana saja wkwkwk , ujung ujungnya padat penduduk juga , dan kehijauan pun bakal jadi wilayah penduduk, akhirnya malah jadi the real gotham city wkwkwk",2024-10-06T20:05:16Z,1,1
@AgusSaputro-i5e,Nih saya ceritain. Mulyono lepas tanggung jawab ya. Dan ada kemungkinan mangkrak. Ditambah ini kata mulyono ini bukan ide dia. Next nya saya komen setelah ganti presiden.,2024-10-03T00:51:38Z,1,4
@alama9415,"Buang buang uang....banyak masyarakat miskin , lihat di stopan lampu merah...anak anak telantar...miris 😂",2024-10-01T13:57:51Z,0,1
@fitrahagungsabdapamungkas1410,"Haloo min saya dari masa depan ditahun 2024, dan ternyata IKN ini progressnya luar biasa memprihatinkan😢",2024-09-27T12:49:13Z,1,0
@RyanMas-ju7hw,Banyak di indonesia org bersdm rendah dan selalu dirusak oleh para rezim itu sendiri yang mencari keuntungan pribadi bukan untuk kepentingan negara dan membuat pihak yang benar seakan akan bersalah 😢,2024-09-26T18:30:38Z,0,0
@sukriali785,Buang2 anggaran...egoisme rezimm,2024-09-24T23:39:07Z,0,0
@karbuanachristini8399,buat nyari proyek,2024-09-24T09:47:05Z,0,0
@farraskaysansiregar2735,IKN hanya proyek gengsi pemerintah tanpa urgensi ekonomis,2024-09-21T00:00:52Z,1,0
@indahpangestuti4635,PULAU JAWA SUDAH MAU TEMGGELAM<br>MAKANYA HRS PINDAH<br>PAHAM.... <br>😅😅😅😅😅,2024-09-17T10:33:55Z,0,1
@WahyuIndah-z3q,Mana investor luar gk ada yg masuk biayanya sdh 70 triliun sampai bulan lalu <br>.Jadi serem jangan sampai mangkrak ...tiap waktu bayar bunga utang ...proyek ini pasti nambah utang ...sanggup gk utang lagi ...Deg2an terus terang ...,2024-09-11T15:58:27Z,1,1
@kurnanovamustafa3630,Nah hutan rimbanya mana....???,2024-09-03T20:44:09Z,0,1
@novirizalchaniago4628,Pindah agar tidak bisa di demo lagi sama rakyat Jawa khususnya Jabodetabek yg oposisi sering mengkritik pemerintah 😁,2024-09-03T12:49:54Z,0,1
@OVAL277,Ini hasilnya di tahun 2024.,2024-08-30T17:42:39Z,0,1
@akbarzakaria1169,saya izin memakai potongan video untuk tugas,2024-08-27T13:34:50Z,0,3
@tjeppymulyadi,"Mungkin dpt ditambahkan bahwa selama berpuluh tahn pembangunan sebagian besar terpusat di jakarta dan Jawa saja shg terjadi ketimpangan antara Jakarta dg kota2 lain di Jawa dan antara Jawa dg luar Jawa. Akibatnya terjadi urbanisasi besar2an dari daerah luar Jakarta ke Jakarta dan dari luar Jawa ke Jawa dan itu terjadi setiap tahun, shg PDB Ekonomi 56% ada di Jawa, sedangkan 56% dari jumlah total penduduk Indonesia ada di Jawa. Sampai kapan kondisi ini akan diterus2kan ? Smp Jakarta tenggelam dan hancur ? Oleh karena pemindahan IKN dari Jakarta ke Kaltim adalah langkah yg tepat sekaligus untk pemerataan pembangunan di luar Jawa, khususnya di Indonesia bagian tengah dan timur.",2024-08-26T02:19:21Z,0,0
@widiatmopetrus3444,"Ngomongin uang gk ngomongin hutang APBN ,,,, 😂😂😂",2024-08-23T14:19:24Z,0,0
@RirinekaWu,Kapan kalimantan jadi Singapore?,2024-08-23T06:18:35Z,0,0
@peter_parker05,"Selama ini pembangunan belum merata. Pemerintah masih fokus ke ibukota dan pulau Jawa. Padahal pendapatan setiap daerah ditagih dan dikeruk. <br>Lihat saja Papua, penuh dengan tambang emas. Hasilnya diambil, uangnya hanya buat pembangunan di Jawa. Miris memang pemerintahan Indonesia. <br>Pantas Papua ingin merdeka",2024-08-22T00:08:03Z,0,0
@HerbiFora,"<a href=""https://www.youtube.com/watch?v=9q7ns-RecAo&amp;t=436"">7:16</a> 2023 lalu Aku ragu krn takut anggarannya di korupsi tapi akhirnya upacara kemerdekaan 17 agustus 2024 sudah dilaksanakan di IKN👍",2024-08-21T12:09:41Z,1,0
@adytiahnug230,"<a href=""https://www.youtube.com/watch?v=9q7ns-RecAo&amp;t=75"">1:15</a> lah Bandung suroboyo kebalik",2024-08-20T15:17:57Z,0,0
@Azxxmtvlg,Its okey tpi hewan langka banyak punah,2024-08-20T11:31:20Z,0,0
@AldanAldan-ou2cf,YUDIAN WAHYUDI<br><br>Kepala Badan Pembinaan Ideologi Pancasila (BPIP)<br><br>-2018:<br><br>MENERBITKAN SURAT KEPUTUSAN YANG MELARANG PEMAKAIAN CADAR BAGI MAHASISWI DI UIN SUNAN KALIJAGA 2020<br><br>MENGELUARKAN STATEMENT KONTROVERSIAL &quot;AGAMA MUSUH TERBESAR PANCASILA&quot;<br><br>2024 SALAH SATU DALANG KEBIJAKAN PASKIBRAKA PUTRI YANG MENANGGALKAN JILBAB,2024-08-19T05:22:28Z,0,0
@hendrarpramudyo7306,Hilirisasi harus diteruskan meningkatkan pendapatan negara,2024-08-19T04:16:26Z,1,0
